date,count,package
2022-03-23,68296,dplyr
2022-03-24,69678,dplyr
2022-03-25,59615,dplyr
2022-03-26,34089,dplyr
2022-03-27,36489,dplyr
2022-03-28,64781,dplyr
2022-03-29,71469,dplyr
2022-03-30,69995,dplyr
2022-03-31,69002,dplyr
2022-04-01,60215,dplyr
2022-04-02,34459,dplyr
2022-04-03,33555,dplyr
2022-04-04,65971,dplyr
2022-04-05,67638,dplyr
2022-04-06,67548,dplyr
2022-04-07,68696,dplyr
2022-04-08,59060,dplyr
2022-04-09,36081,dplyr
2022-04-10,34411,dplyr
2022-04-11,65599,dplyr
2022-04-12,65391,dplyr
2022-04-13,65580,dplyr
2022-04-14,63211,dplyr
2022-04-15,51751,dplyr
2022-04-16,35369,dplyr
2022-04-17,36917,dplyr
2022-04-18,59510,dplyr
2022-04-19,75591,dplyr
2022-04-20,81077,dplyr
2022-04-21,76822,dplyr
2022-04-22,66476,dplyr
2022-04-23,38139,dplyr
2022-04-24,41103,dplyr
2022-04-25,74172,dplyr
2022-04-26,79195,dplyr
2022-04-27,78216,dplyr
2022-04-28,80946,dplyr
2022-04-29,83767,dplyr
2022-04-30,45168,dplyr
2022-05-01,49067,dplyr
2022-05-02,77685,dplyr
2022-05-03,90397,dplyr
2022-05-04,92138,dplyr
2022-05-05,93489,dplyr
2022-05-06,85390,dplyr
2022-05-07,53779,dplyr
2022-05-08,49668,dplyr
2022-05-09,82445,dplyr
2022-05-10,NA,dplyr
2022-05-11,88198,dplyr
2022-05-12,79889,dplyr
2022-05-13,71581,dplyr
2022-05-14,44786,dplyr
2022-05-15,37455,dplyr
2022-05-16,71988,dplyr
2022-05-17,81416,dplyr
2022-05-18,83175,dplyr
2022-05-19,79964,dplyr
2022-05-20,72465,dplyr
2022-05-21,40503,dplyr
2022-05-22,41765,dplyr
2022-05-23,76325,dplyr
2022-05-24,88607,dplyr
2022-05-25,71771,dplyr
2022-05-26,66333,dplyr
2022-05-27,62955,dplyr
2022-05-28,41105,dplyr
2022-05-29,40536,dplyr
2022-05-30,59791,dplyr
2022-05-31,72612,dplyr
2022-06-01,71550,dplyr
2022-06-02,68602,dplyr
2022-06-03,62650,dplyr
2022-06-04,41123,dplyr
2022-06-05,42496,dplyr
2022-06-06,67317,dplyr
2022-06-07,76913,dplyr
2022-06-08,75259,dplyr
2022-06-09,73319,dplyr
2022-06-10,73894,dplyr
2022-06-11,45788,dplyr
2022-06-12,42998,dplyr
2022-06-13,73922,dplyr
2022-06-14,77969,dplyr
2022-06-15,75374,dplyr
2022-06-16,70130,dplyr
2022-06-17,64334,dplyr
2022-06-18,38646,dplyr
2022-06-19,37681,dplyr
2022-06-20,65259,dplyr
2022-06-21,70963,dplyr
2022-06-22,69421,dplyr
2022-06-23,71227,dplyr
2022-06-24,62392,dplyr
2022-06-25,38281,dplyr
2022-06-26,40034,dplyr
2022-06-27,65563,dplyr
2022-06-28,67524,dplyr
2022-06-29,64516,dplyr
2022-06-30,60736,dplyr
2022-07-01,52953,dplyr
2022-07-02,32842,dplyr
2022-07-03,29389,dplyr
